"source","family","window","b1","se1","p1","b3","se3","p3","timing","window_label","window_order"
"IOM","NegBin","swh_win3",-1.64638420478049,0.392994993958896,2.79784034412464e-05,1.4817740351752,0.520116615029728,0.0043867006029561,"past","lag 1-3d",3
"IOM","Poisson","swh_win3",-2.20149940010467,0.662568316925717,0.000891586212547637,2.01018997660944,0.698183450614766,0.0039872129136551,"past","lag 1-3d",3
"IOM","NegBin","swh_win4",-1.89615467933731,0.457797023388979,3.44423501812135e-05,2.14330841767292,0.585925046845794,0.000254200191299976,"past","lag 1-4d",4
"IOM","Poisson","swh_win4",-2.16104958117133,0.663903047316855,0.00113365208867106,2.33654703998139,0.715131753941228,0.00108580131126183,"past","lag 1-4d",4
"IOM","NegBin","swh_win5",-2.03574663303431,0.598867410904655,0.000675517043320155,2.58091461971193,0.709139601628225,0.000273166382564141,"past","lag 1-5d",5
"IOM","Poisson","swh_win5",-1.9887203238807,0.692966515622661,0.00410647128948414,2.38146450179834,0.751969672787623,0.00154036837147257,"past","lag 1-5d",5
"IOM","NegBin","swh_win7",-1.67134266641613,0.848692627692871,0.0489169913584477,2.56186571714788,0.978514842108765,0.00884166494535727,"past","lag 1-7d",6
"IOM","Poisson","swh_win7",-1.67043185126248,0.764858588865815,0.0289641029607024,2.19834224289551,0.829692650277004,0.00805903972919506,"past","lag 1-7d",6
"IOM","NegBin","swh_lead1",-2.37746745523112,0.501953562269858,2.17516797101907e-06,1.71720797343721,0.560104880706477,0.00217038664793669,"future_placebo","lead 1d",7
"IOM","Poisson","swh_lead1",-0.872100652369734,0.715994858409543,0.223213933931249,0.265553937009988,0.746062262448148,0.721884961875617,"future_placebo","lead 1d",7
"IOM","NegBin","swh_lead3",-1.60516405216774,0.456929031341991,0.000443178342891227,0.709609306431197,0.534758956836573,0.184518474658762,"future_placebo","lead 1-3d",8
"IOM","Poisson","swh_lead3",-0.576696421887576,0.409262934826457,0.158802696530717,-0.0374762787588963,0.452311189464952,0.933966773947082,"future_placebo","lead 1-3d",8
"IOM","NegBin","swh_lead5",-1.33625273790957,0.586162261486683,0.0226276511062072,0.122506791212601,0.693513022223804,0.859785904545554,"future_placebo","lead 1-5d",9
"IOM","Poisson","swh_lead5",-0.806324999499742,0.387335171075895,0.0373676687737223,0.171026090559684,0.476206981467859,0.719488607419061,"future_placebo","lead 1-5d",9
"IOM","NegBin","swh_lead7",-0.686120406077486,0.724566277629269,0.343669624440925,-0.219344287643891,0.861641797037993,0.799058697016297,"future_placebo","lead 1-7d",10
"IOM","Poisson","swh_lead7",-0.750228323879102,0.451279619618158,0.0964232376920347,0.0300804878809282,0.545222705912191,0.956002223654908,"future_placebo","lead 1-7d",10
